"Bunny Rabbit.  Bob went to a local fair with his family. They took their bunny out for a walk. Suddenly, the bunny caught his attention. Bob was startled and ran away. It was too late to return."
"Good Terms.  Tim had always been a good friend to his girlfriend. His girlfriend loved being around Tim. He didn't care much for the rules. He was always in good faith. Tim never spoke up for himself again."
"What And Itch.  We have an old house that has one of the oldest oak trees. We have a lot of stuff we do for a living. Our friends always take us out to the woods and watch movies. Itches are hard to remove, so we just enjoy it. They think it is worth a lot of money to get it done."
"Empty Club.  When Bill took his daughter to the dance hall they were not there. They were in the Club when he saw an empty club and asked him why. His daughter said she wasn't sure what was wrong. Bill took his daughter to the dance hall and explained everything. After the dance hall they both started dancing happily and they could go home."
"Wrestling.  John was wrestling. He decided to get into shape. John worked very hard for months. John lost 50 lbs by the end of the month. He was thrilled with his results!"
"Magical Fruit.  I got an apple from the grocery store. The apple did not like the scent of the apples. I went to the store and bought a lot of apple cider. The cider smelled so good, I loved the apple. I am very thankful to the person who bought the apple."
"Schedule.  Amy was planning a trip to her new apartment. She had no idea what she was going to do. Her sister came over to check. Amy had to schedule her trip. Amy had a nice dinner and then she got on her flight."
"Candy in the dirt.  When I was little I loved candy. My mom always brought me candy when I was little. But when I was seven I found a pack of chocolate in the dirt. Now my mom never brought me candy."
"Robins cruel exit.  Robins had the worst idea yet. They hired a contractor to fix his apartment. When the house was ready they left it open. Robins and his friends were shocked and furious at the way it was. Robins sued the contractor for breach of contract."
"Good Fences.  I was playing basketball one afternoon. I had just scored 100 points. I got my first point on the buzzer and made a layup. My opponent blocked the layup. I made a layup and it was all for the win."
"Carnival Games.  I bought a bunch of carnival games for my son. He loves it. He would take me to every game. Sometimes he would go all night and then run. I would get so close I would be playing with my son all night. He told me this was why he was playing with the carnival games."
"New Neighbors.  Susie and Bill had a new neighbor. Bill didn't know Susie. So Susie decided to check up on Bill. Bill was upset. Susie didn't think Susie had any bad things to say."
"The Face Wash.  Susie's face was getting really dirty. Susie knew she was going to have a big party. All the friends were looking forward to this party. Susie's friends bought a face wash. It helped her look much cleaner."
"Bill started a company.  Bill was a very successful business man. He wanted to try out a new business. Bill hired a large executive. Bill was very impressed with the results of the new business. Bill was finally able to get a raise."
"Pool.  My brother and I went to the pool this weekend. We had fun and saw all kinds of water. It was a great weekend. We also had a lot of fun swimming. My brother and I got to go home and rest."
"Megan sees a ghost.  Megan is walking through her neighborhood. She hears a weird noise. She stops and looks. She sees a ghost. Megan is relieved."
"Francine Has her Ears Pierced.  Francine has her ears pierced. Her ears are pierced when she goes to her doctor. Her doctor tells her that her ears have pierced. Francine is sad that her ears aren't pierced anymore. Francine wishes she had her ears pierced before she went to the doctor."
"Penn.  I was playing in a pool yesterday. I lost one piece of my ball in the water. I didn't know how I would score a point. I decided to get a better grip and practice harder. I ended up scoring two points!"
"Flower Shop.  John noticed a new flower shop opening a day early. John knew it was for a flower shop. He went into the shop and picked up the flowers. John's wife loved the flower shop. John went home and started his next flower business."
"Shoes.  Aya went shopping in the morning. She wanted to buy a pair of shoes. When she got home, she saw the ones she wanted were out of stock. She couldn't believe that she could buy shoes out of stock. Finally, she found the perfect pair online."
"Spare Change.  My husband and I bought a small used car in 2006. He was in love with the car, as was me, and we were very happy. They got a lot of speeding tickets when we parked in a big city. I told my husband about the car, and he agreed to keep it for us. I've had to admit to him, that I should not have bought the car."
